fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3891509473323822;1.0867929458618164;0.018873448880428925;-0.042027247264111875;0.07959067821502686;0.6634284257888794;{'loss': [1.1162793636322021, 1.101404070854187, 1.0911904573440552, 1.0835225582122803, 1.0760782957077026], 'accuracy': [0.3197064995765686, 0.3486143946647644, 0.3694804906845093, 0.39406445622444153, 0.42007339000701904], 'val_loss': [1.0943255424499512, 1.089096188545227, 1.086988091468811, 1.086556315422058, 1.0867928266525269], 'val_accuracy': [0.35922759771347046, 0.3864976465702057, 0.37883254885673523, 0.38708725571632385, 0.3891509473323822]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.39047759771347046;1.0886117219924927;0.019629422751049626;-0.05951701019680889;0.03872998058795929;0.7418155670166016;{'loss': [1.0717380046844482, 1.0690828561782837, 1.0677690505981445, 1.0641933679580688, 1.063816785812378], 'accuracy': [0.42238274216651917, 0.432717502117157, 0.4314563572406769, 0.4375818967819214, 0.4420695900917053], 'val_loss': [1.0867633819580078, 1.087533712387085, 1.0877454280853271, 1.0877496004104614, 1.0886117219924927], 'val_accuracy': [0.3891509473323822, 0.3869398534297943, 0.3876768946647644, 0.39121460914611816, 0.39047759771347046]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.39534199237823486;1.0896238088607788;0.017263826477425435;-0.06985031407733118;0.028769973665475845;0.7797633409500122;{'loss': [1.0621010065078735, 1.0612167119979858, 1.0617647171020508, 1.0569190979003906, 1.0611861944198608], 'accuracy': [0.4457383453845978, 0.4424462914466858, 0.4401369094848633, 0.4517000913619995, 0.44093945622444153], 'val_loss': [1.089242696762085, 1.089406132698059, 1.089552879333496, 1.0894256830215454, 1.0896238088607788], 'val_accuracy': [0.39003539085388184, 0.3923938572406769, 0.3940153419971466, 0.3965212404727936, 0.39534199237823486]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.4050707519054413;1.0893715620040894;0.016503132507094582;-0.07457312891195564;0.02463846281170845;0.7956979274749756;{'loss': [1.0593929290771484, 1.062334418296814, 1.056745171546936, 1.056596279144287, 1.056339144706726], 'accuracy': [0.44051364064216614, 0.441316157579422, 0.44806405901908875, 0.44650810956954956, 0.44572195410728455], 'val_loss': [1.0893974304199219, 1.0891191959381104, 1.0891021490097046, 1.0894746780395508, 1.0893715620040894], 'val_accuracy': [0.3996167480945587, 0.400943398475647, 0.4013856053352356, 0.40241745114326477, 0.4050707519054413]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.39534199237823486;1.0899269580841064;0.0004643050224158148;-0.0034964035623232174;0.15326111018657684;0.6693825721740723;{'loss': [1.110064148902893, 1.1021697521209717, 1.0972365140914917, 1.0894641876220703, 1.0869675874710083], 'accuracy': [0.34342244267463684, 0.36196279525756836, 0.3671383559703827, 0.3956531584262848, 0.393655002117157], 'val_loss': [1.095772624015808, 1.094278335571289, 1.0916690826416016, 1.0897853374481201, 1.0899269580841064], 'val_accuracy': [0.36438679695129395, 0.3739681541919708, 0.37883254885673523, 0.3891509473323822, 0.39534199237823486]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.40462854504585266;1.092944860458374;-0.009356076727576754;-0.011030696547686618;0.06035671383142471;0.8192254304885864;{'loss': [1.084891438484192, 1.0786709785461426, 1.0776952505111694, 1.0771280527114868, 1.0722806453704834], 'accuracy': [0.40227004885673523, 0.40770769119262695, 0.41543829441070557, 0.41486504673957825, 0.4260514974594116], 'val_loss': [1.0896261930465698, 1.0901066064834595, 1.0908300876617432, 1.0917270183563232, 1.0929447412490845], 'val_accuracy': [0.4006485939025879, 0.40153300762176514, 0.40610259771347046, 0.4043337404727936, 0.40462854504585266]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.40315449237823486;1.096631646156311;-0.018245740532081528;-0.01567349647684653;0.04300345107913017;0.8496886491775513;{'loss': [1.0759761333465576, 1.0757684707641602, 1.0705386400222778, 1.069053292274475, 1.0675431489944458], 'accuracy': [0.42025354504585266, 0.41877949237823486, 0.4236602485179901, 0.42772209644317627, 0.4312598407268524], 'val_loss': [1.0939347743988037, 1.094548225402832, 1.094802975654602, 1.0954968929290771, 1.096631407737732], 'val_accuracy': [0.40639740228652954, 0.40639740228652954, 0.4055129587650299, 0.4035966992378235, 0.40315449237823486]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.3984375;1.0989314317703247;-0.02217009479482481;-0.018502378325460818;0.03778817504644394;0.8538060188293457;{'loss': [1.0666630268096924, 1.0698050260543823, 1.062941551208496, 1.0637379884719849, 1.0635743141174316], 'accuracy': [0.4423152506351471, 0.42628079652786255, 0.43704140186309814, 0.4347156584262848, 0.42809879779815674], 'val_loss': [1.0966894626617432, 1.0965105295181274, 1.0972017049789429, 1.0987255573272705, 1.0989315509796143], 'val_accuracy': [0.4013856053352356, 0.40153300762176514, 0.4003537595272064, 0.3974056541919708, 0.3984375]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3820754587650299;1.092579960823059;-0.025452314725293853;-0.021870567258447486;0.20010536909103394;0.5311833024024963;{'loss': [1.1065303087234497, 1.0982568264007568, 1.0930520296096802, 1.0894185304641724, 1.0835938453674316], 'accuracy': [0.32966455817222595, 0.36348599195480347, 0.3759990930557251, 0.38682520389556885, 0.40018999576568604], 'val_loss': [1.0985196828842163, 1.0958340167999268, 1.09480881690979, 1.0927084684371948, 1.0925798416137695], 'val_accuracy': [0.3542158007621765, 0.36364975571632385, 0.36704009771347046, 0.38295990228652954, 0.3820754587650299]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.38295990228652954;1.0962871313095093;-0.03994684579768675;-0.0403638715214435;0.13368813693523407;0.6037434935569763;{'loss': [1.0802431106567383, 1.0780096054077148, 1.0748708248138428, 1.0714926719665527, 1.0732941627502441], 'accuracy': [0.4098860025405884, 0.41673219203948975, 0.42246460914611816, 0.42783674597740173, 0.42446279525756836], 'val_loss': [1.0925161838531494, 1.092113733291626, 1.094196081161499, 1.0955122709274292, 1.0962872505187988], 'val_accuracy': [0.3825176954269409, 0.38590800762176514, 0.38443395495414734, 0.38413915038108826, 0.38295990228652954]}
