fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3782429099082947;1.1036484241485596;0.020750086354976105;-0.0518185793940413;0.13782870769500732;0.6318760514259338;{'loss': [1.1055384874343872, 1.0958800315856934, 1.0924500226974487, 1.0912415981292725, 1.0890178680419922], 'accuracy': [0.364681601524353, 0.4013856053352356, 0.4150943458080292, 0.41420990228652954, 0.42606785893440247], 'val_loss': [1.1029847860336304, 1.1033656597137451, 1.1037228107452393, 1.103668212890625, 1.10364830493927], 'val_accuracy': [0.37809550762176514, 0.3747051954269409, 0.372494101524353, 0.3761792480945587, 0.3782429099082947]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3742629587650299;1.1033846139907837;0.024820441689986372;-0.05447933903684458;0.12665684521198273;0.6180535554885864;{'loss': [1.0882573127746582, 1.0878803730010986, 1.0872164964675903, 1.0865908861160278, 1.0861462354660034], 'accuracy': [0.43109604716300964, 0.4308503568172455, 0.4363207519054413, 0.44072654843330383, 0.4355018436908722], 'val_loss': [1.103578805923462, 1.1030434370040894, 1.1028192043304443, 1.1030466556549072, 1.1033846139907837], 'val_accuracy': [0.37441039085388184, 0.3782429099082947, 0.37441039085388184, 0.3732311427593231, 0.3742629587650299]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.36954599618911743;1.1040655374526978;0.026584742807944265;-0.05952119989065112;0.12370774894952774;0.6229775547981262;{'loss': [1.085594654083252, 1.0863025188446045, 1.086168646812439, 1.084928035736084, 1.0840764045715332], 'accuracy': [0.4379258453845978, 0.4352397918701172, 0.43625524640083313, 0.43759825825691223, 0.4456073045730591], 'val_loss': [1.1035370826721191, 1.103988766670227, 1.1033271551132202, 1.1037249565124512, 1.1040656566619873], 'val_accuracy': [0.37146225571632385, 0.3686615526676178, 0.3727889060974121, 0.3676297068595886, 0.36954599618911743]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.3642393946647644;1.1044167280197144;0.026491910065099288;-0.060272144181727896;0.12671048939228058;0.6341361999511719;{'loss': [1.0843117237091064, 1.0825310945510864, 1.0828514099121094, 1.084191918373108, 1.0824178457260132], 'accuracy': [0.4450013041496277, 0.44962000846862793, 0.4461805522441864, 0.44559094309806824, 0.45150354504585266], 'val_loss': [1.1043494939804077, 1.104116678237915, 1.1040786504745483, 1.1044663190841675, 1.1044167280197144], 'val_accuracy': [0.36247050762176514, 0.36954599618911743, 0.3676297068595886, 0.3661556541919708, 0.3642393946647644]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.37411555647850037;1.096570372581482;-0.010299066620143491;-0.0016204413766748344;0.21648752689361572;0.5136417746543884;{'loss': [1.10564124584198, 1.0995296239852905, 1.0956226587295532, 1.0942254066467285, 1.0928338766098022], 'accuracy': [0.33513495326042175, 0.363109290599823, 0.38210824131965637, 0.40179505944252014, 0.4062827527523041], 'val_loss': [1.0969371795654297, 1.0964666604995728, 1.096125602722168, 1.096176028251648, 1.0965702533721924], 'val_accuracy': [0.3732311427593231, 0.3772110939025879, 0.38001179695129395, 0.3779481053352356, 0.37411555647850037]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.38590800762176514;1.0962225198745728;-0.0024624025789699404;-0.0034236574206365795;0.16423365473747253;0.5590264201164246;{'loss': [1.0911005735397339, 1.0894109010696411, 1.0897362232208252, 1.0884838104248047, 1.0874989032745361], 'accuracy': [0.4083791971206665, 0.4137185513973236, 0.42302149534225464, 0.4201061427593231, 0.42836084961891174], 'val_loss': [1.096436858177185, 1.0961099863052368, 1.096314787864685, 1.0960311889648438, 1.0962224006652832], 'val_accuracy': [0.37735849618911743, 0.3842865526676178, 0.3831073045730591, 0.38413915038108826, 0.38590800762176514]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.39298349618911743;1.0966949462890625;-0.00041086797565933797;-0.004910153228179459;0.14991295337677002;0.5757039189338684;{'loss': [1.086844563484192, 1.0869190692901611, 1.085696816444397, 1.0863187313079834, 1.0835494995117188], 'accuracy': [0.43270114064216614, 0.4302935004234314, 0.4388921558856964, 0.4318985939025879, 0.4374508559703827], 'val_loss': [1.096009612083435, 1.0967847108840942, 1.0962884426116943, 1.0961508750915527, 1.0966949462890625], 'val_accuracy': [0.3923938572406769, 0.3872346580028534, 0.39150944352149963, 0.39121460914611816, 0.39298349618911743]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.39607900381088257;1.0961922407150269;0.002481353560088708;-0.005651019063196517;0.15070253610610962;0.5685217380523682;{'loss': [1.0844038724899292, 1.0849089622497559, 1.0858193635940552, 1.085803508758545, 1.0840568542480469], 'accuracy': [0.4354526996612549, 0.43669745326042175, 0.4373198449611664, 0.43612420558929443, 0.43697589635849], 'val_loss': [1.0959837436676025, 1.0962902307510376, 1.0961426496505737, 1.0964434146881104, 1.0961922407150269], 'val_accuracy': [0.3962264060974121, 0.3951945900917053, 0.3957841992378235, 0.39077240228652954, 0.39607900381088257]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3810436427593231;1.098320484161377;-0.008697055702591284;-0.011673491862117464;0.18784214556217194;0.5169011354446411;{'loss': [1.1023157835006714, 1.0949623584747314, 1.0922900438308716, 1.0883193016052246, 1.0880929231643677], 'accuracy': [0.3533477485179901, 0.39008450508117676, 0.4183536469936371, 0.42867204546928406, 0.42970389127731323], 'val_loss': [1.0990270376205444, 1.097289800643921, 1.0986230373382568, 1.0978164672851562, 1.0983206033706665], 'val_accuracy': [0.3832547068595886, 0.3857606053352356, 0.38192805647850037, 0.3839917480945587, 0.3810436427593231]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(1, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3795695900917053;1.0993307828903198;-0.008288342933764247;-0.007754344810718275;0.16769903898239136;0.5357247591018677;{'loss': [1.0881627798080444, 1.0867249965667725, 1.08566415309906, 1.0858311653137207, 1.084399700164795], 'accuracy': [0.4319804906845093, 0.4411523938179016, 0.4434453547000885, 0.43777844309806824, 0.4455417990684509], 'val_loss': [1.098520040512085, 1.0986007452011108, 1.0991015434265137, 1.0995692014694214, 1.0993307828903198], 'val_accuracy': [0.38001179695129395, 0.3806014060974121, 0.37897995114326477, 0.37883254885673523, 0.3795695900917053]}
