fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3303360939025879;1.1281468868255615;-0.00043319457003113213;-0.06458343547899564;0.026397990062832832;0.842448890209198;{'loss': [1.1691738367080688, 1.1503642797470093, 1.1449047327041626, 1.1421228647232056, 1.1273354291915894], 'accuracy': [0.34004849195480347, 0.344536155462265, 0.3461412489414215, 0.34307849407196045, 0.36135679483413696], 'val_loss': [1.1529104709625244, 1.1443002223968506, 1.1379728317260742, 1.1324506998062134, 1.128147006034851], 'val_accuracy': [0.32576650381088257, 0.3259139060974121, 0.3293042480945587, 0.32827240228652954, 0.3303360939025879]}
0;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3347582519054413;1.115070104598999;0.010979067317457864;-0.05293396447296914;0.04813878610730171;0.7574944496154785;{'loss': [1.1244683265686035, 1.1241763830184937, 1.1223191022872925, 1.1155577898025513, 1.1146270036697388], 'accuracy': [0.35691824555397034, 0.3605378568172455, 0.35922759771347046, 0.36925119161605835, 0.37185534834861755], 'val_loss': [1.124686598777771, 1.1216919422149658, 1.1189849376678467, 1.117005705833435, 1.115070104598999], 'val_accuracy': [0.33313679695129395, 0.3322523534297943, 0.333431601524353, 0.3352004587650299, 0.3347582519054413]}
1;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3396226465702057;1.1036560535430908;0.014729622891366609;-0.007532187917553113;0.0931306704878807;0.739446759223938;{'loss': [1.1322962045669556, 1.1257233619689941, 1.1187957525253296, 1.1172739267349243, 1.1144859790802002], 'accuracy': [0.3265199065208435, 0.3282887935638428, 0.33366090059280396, 0.33492204546928406, 0.33318594098091125], 'val_loss': [1.1177966594696045, 1.1134920120239258, 1.1099475622177124, 1.1064496040344238, 1.1036559343338013], 'val_accuracy': [0.3235554099082947, 0.3263561427593231, 0.3284198045730591, 0.3340212404727936, 0.3396226465702057]}
1;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.36320754885673523;1.091732144355774;0.02766317681095893;-0.007591047243990654;0.09095623344182968;0.7483035326004028;{'loss': [1.1129823923110962, 1.1094048023223877, 1.1039717197418213, 1.1066845655441284, 1.1037720441818237], 'accuracy': [0.3350694477558136, 0.3444051444530487, 0.34650155901908875, 0.3521193563938141, 0.35233229398727417], 'val_loss': [1.100830316543579, 1.098281741142273, 1.095883846282959, 1.0936825275421143, 1.0917322635650635], 'val_accuracy': [0.34316039085388184, 0.3456662595272064, 0.3505306541919708, 0.35657429695129395, 0.36320754885673523]}
2;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3396226465702057;1.1133564710617065;-0.021588187332637267;-0.04076430497442415;0.10943809896707535;0.6456846594810486;{'loss': [1.176384449005127, 1.1658275127410889, 1.1487419605255127, 1.145710825920105, 1.1334682703018188], 'accuracy': [0.326814740896225, 0.33009040355682373, 0.33960625529289246, 0.32958269119262695, 0.33795204758644104], 'val_loss': [1.123489260673523, 1.1196606159210205, 1.116889238357544, 1.1146183013916016, 1.113356590270996], 'val_accuracy': [0.33284199237823486, 0.3356426954269409, 0.33755895495414734, 0.3422759473323822, 0.3396226465702057]}
2;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3403596580028534;1.108735203742981;-0.014579330492015668;-0.04184621785330777;0.1323077380657196;0.5988238453865051;{'loss': [1.13326895236969, 1.1243900060653687, 1.1270397901535034, 1.119643211364746, 1.117124080657959], 'accuracy': [0.34263625741004944, 0.34797564148902893, 0.33842700719833374, 0.356082946062088, 0.35799920558929443], 'val_loss': [1.1120991706848145, 1.110836148262024, 1.1100467443466187, 1.1094915866851807, 1.1087353229522705], 'val_accuracy': [0.33682194352149963, 0.33991745114326477, 0.3377063572406769, 0.3393278419971466, 0.3403596580028534]}
3;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.34375;1.110094428062439;-0.001204237529262131;-0.0016146110605902856;0.09099485725164413;0.6697317957878113;{'loss': [1.1372239589691162, 1.1349422931671143, 1.1327942609786987, 1.1215577125549316, 1.1186648607254028], 'accuracy': [0.3354952931404114, 0.33579009771347046, 0.3437991440296173, 0.3459610939025879, 0.34871265292167664], 'val_loss': [1.1299749612808228, 1.1229486465454102, 1.1178984642028809, 1.1136915683746338, 1.110094428062439], 'val_accuracy': [0.31235259771347046, 0.3225235939025879, 0.32974645495414734, 0.33755895495414734, 0.34375]}
3;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3745577931404114;1.0987666845321655;-0.00540729513283372;0.004727733454375725;0.09712045639753342;0.7133911848068237;{'loss': [1.1167458295822144, 1.1148818731307983, 1.1046167612075806, 1.1066052913665771, 1.0981734991073608], 'accuracy': [0.3566889464855194, 0.3423087000846863, 0.36998820304870605, 0.3641411066055298, 0.37341129779815674], 'val_loss': [1.106831669807434, 1.1042431592941284, 1.1021591424942017, 1.1002460718154907, 1.0987666845321655], 'val_accuracy': [0.35215210914611816, 0.35657429695129395, 0.36173349618911743, 0.3676297068595886, 0.3745577931404114]}
4;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.41008254885673523;1.0770212411880493;0.00276568302082543;0.015408378059690399;0.1487983614206314;0.6438128352165222;{'loss': [1.11762535572052, 1.1167389154434204, 1.11172616481781, 1.1071544885635376, 1.1072121858596802], 'accuracy': [0.33678919076919556, 0.3386726975440979, 0.33921319246292114, 0.34807389974594116, 0.3509564995765686], 'val_loss': [1.0914092063903809, 1.0873814821243286, 1.083728313446045, 1.0802849531173706, 1.0770212411880493], 'val_accuracy': [0.38119104504585266, 0.3864976465702057, 0.39607900381088257, 0.4030070900917053, 0.41008254885673523]}
4;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4587264060974121;1.063916563987732;0.01649242359663318;0.02471379303496488;0.13804131746292114;0.6521962881088257;{'loss': [1.1024837493896484, 1.1019624471664429, 1.1015044450759888, 1.0968031883239746, 1.0975245237350464], 'accuracy': [0.35701650381088257, 0.3615041971206665, 0.36096370220184326, 0.36769524216651917, 0.38079795241355896], 'val_loss': [1.0741231441497803, 1.071582555770874, 1.0688754320144653, 1.0662163496017456, 1.063916563987732], 'val_accuracy': [0.4223172068595886, 0.42983490228652954, 0.4426591992378235, 0.4504716992378235, 0.4587264060974121]}
