fold_no;latitudes;longitudes;radius_basis_func;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.36025944352149963;1.1005955934524536;0.012622328760474342;0.013813706393449938;0.06666097790002823;0.6641230583190918;{'loss': [1.1665509939193726, 1.1598045825958252, 1.1400362253189087, 1.141676902770996, 1.1374448537826538], 'accuracy': [0.3186582922935486, 0.31656184792518616, 0.33156445622444153, 0.3230476975440979, 0.3155791461467743], 'val_loss': [1.117376685142517, 1.1115156412124634, 1.1072068214416504, 1.1036477088928223, 1.1005957126617432], 'val_accuracy': [0.35554245114326477, 0.35731130838394165, 0.3596698045730591, 0.3590801954269409, 0.36025944352149963]}
0;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.37146225571632385;1.0932966470718384;0.014863322060231303;5.916536823219465e-06;0.09660235047340393;0.5826528668403625;{'loss': [1.1276767253875732, 1.1228197813034058, 1.110002040863037, 1.1152732372283936, 1.1135118007659912], 'accuracy': [0.3248165547847748, 0.33162999153137207, 0.34499475359916687, 0.3438810408115387, 0.34420859813690186], 'val_loss': [1.0982660055160522, 1.096566915512085, 1.0950995683670044, 1.0939537286758423, 1.0932965278625488], 'val_accuracy': [0.36733490228652954, 0.3708726465702057, 0.36733490228652954, 0.3667452931404114, 0.37146225571632385]}
1;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.31603774428367615;1.122329592704773;-0.04414583142792573;-0.0350322072927816;0.02454189956188202;0.8923991322517395;{'loss': [1.1933425664901733, 1.1596543788909912, 1.1564122438430786, 1.1472629308700562, 1.1457420587539673], 'accuracy': [0.31164830923080444, 0.31872379779815674, 0.3146619498729706, 0.3149240016937256, 0.3195754587650299], 'val_loss': [1.1529849767684937, 1.144155502319336, 1.136224627494812, 1.1287109851837158, 1.1223297119140625], 'val_accuracy': [0.3012971580028534, 0.3001179099082947, 0.3042452931404114, 0.31308960914611816, 0.31603774428367615]}
1;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.338443398475647;1.1018660068511963;-0.009533941119066445;-0.020783156436010697;0.06205340474843979;0.7470483183860779;{'loss': [1.1324310302734375, 1.121874213218689, 1.1229561567306519, 1.123327374458313, 1.1131930351257324], 'accuracy': [0.3229166567325592, 0.33097484707832336, 0.3283542990684509, 0.3252096474170685, 0.33058175444602966], 'val_loss': [1.116740345954895, 1.1122615337371826, 1.1084572076797485, 1.1048566102981567, 1.1018658876419067], 'val_accuracy': [0.3213443458080292, 0.32606130838394165, 0.33313679695129395, 0.3313679099082947, 0.338443398475647]}
2;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.2871462404727936;1.110947608947754;-0.00785213851499027;-0.011139727029805532;0.1978215128183365;0.49984025955200195;{'loss': [1.1151483058929443, 1.1115726232528687, 1.1131198406219482, 1.1066479682922363, 1.1054680347442627], 'accuracy': [0.32029610872268677, 0.32645440101623535, 0.3183962404727936, 0.3324161469936371, 0.3366745412349701], 'val_loss': [1.1159521341323853, 1.114425539970398, 1.1129770278930664, 1.1117057800292969, 1.110947608947754], 'val_accuracy': [0.2912735939025879, 0.29186320304870605, 0.2924528419971466, 0.2883254587650299, 0.2871462404727936]}
2;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.30601415038108826;1.107105016708374;-0.008008311496734146;-0.01352243598554112;0.21150384843349457;0.5004855990409851;{'loss': [1.102223515510559, 1.1030726432800293, 1.0993844270706177, 1.098586916923523, 1.095961332321167], 'accuracy': [0.3476153016090393, 0.3463050425052643, 0.34381550550460815, 0.35036689043045044, 0.3677935004234314], 'val_loss': [1.1099900007247925, 1.1090277433395386, 1.108547329902649, 1.1077574491500854, 1.1071051359176636], 'val_accuracy': [0.2965801954269409, 0.2983490526676178, 0.29304245114326477, 0.2983490526676178, 0.30601415038108826]}
3;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.33018869161605835;1.105001449584961;-0.012775261211455984;-0.01583002522608608;0.16644743084907532;0.5383866429328918;{'loss': [1.1142035722732544, 1.1093028783798218, 1.108082890510559, 1.1084483861923218, 1.1067838668823242], 'accuracy': [0.33208855986595154, 0.33634695410728455, 0.3419811427593231, 0.33903300762176514, 0.3309093415737152], 'val_loss': [1.1110293865203857, 1.1090365648269653, 1.1074512004852295, 1.10608971118927, 1.105001449584961], 'val_accuracy': [0.3183962404727936, 0.3207547068595886, 0.3213443458080292, 0.32429245114326477, 0.33018869161605835]}
3;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3496462404727936;1.1001050472259521;-0.007555173466847093;-0.008933321348748175;0.1768224984407425;0.5053569078445435;{'loss': [1.104918122291565, 1.1029343605041504, 1.1021031141281128, 1.1022602319717407, 1.100487470626831], 'accuracy': [0.34571540355682373, 0.34427410364151, 0.3508254587650299, 0.34394654631614685, 0.3531184494495392], 'val_loss': [1.103945255279541, 1.1027787923812866, 1.1017835140228271, 1.100894808769226, 1.1001050472259521], 'val_accuracy': [0.3337264060974121, 0.33903300762176514, 0.3425707519054413, 0.3496462404727936, 0.3496462404727936]}
4;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.35731130838394165;1.1060559749603271;-0.004047385218150226;0.03556724834346948;0.06163085624575615;0.5855236649513245;{'loss': [1.1338070631027222, 1.1325440406799316, 1.125367283821106, 1.12546706199646, 1.1247354745864868], 'accuracy': [0.3512185513973236, 0.3444051444530487, 0.3460429906845093, 0.34820494055747986, 0.34931865334510803], 'val_loss': [1.1334986686706543, 1.1243714094161987, 1.1177995204925537, 1.1122455596923828, 1.1060559749603271], 'val_accuracy': [0.3295990526676178, 0.33313679695129395, 0.34021225571632385, 0.3496462404727936, 0.35731130838394165]}
4;slice(60, 55, None);slice(70, 75, None);4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3950471580028534;1.0872163772583008;0.02055504780835196;0.03540122427696473;0.06894280016422272;0.5919657349586487;{'loss': [1.1196976900100708, 1.1135177612304688, 1.1109446287155151, 1.1081647872924805, 1.104783296585083], 'accuracy': [0.3415880501270294, 0.3558045029640198, 0.36517295241355896, 0.36156970262527466, 0.3609800934791565], 'val_loss': [1.1010957956314087, 1.097137212753296, 1.093174934387207, 1.0900176763534546, 1.0872163772583008], 'val_accuracy': [0.3691037595272064, 0.3738207519054413, 0.37971699237823486, 0.37971699237823486, 0.3950471580028534]}
