fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3686615526676178;1.0979927778244019;-0.02818047811618342;-0.016702480628554638;0.1602146327495575;0.6338926553726196;{'loss': [1.1149424314498901, 1.1038744449615479, 1.1012415885925293, 1.1005291938781738, 1.096427321434021], 'accuracy': [0.34289830923080444, 0.35749149322509766, 0.3647962510585785, 0.364681601524353, 0.3787834048271179], 'val_loss': [1.1033809185028076, 1.099465250968933, 1.098465085029602, 1.0982065200805664, 1.0979927778244019], 'val_accuracy': [0.3552476465702057, 0.372494101524353, 0.36659789085388184, 0.3642393946647644, 0.3686615526676178]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3698408007621765;1.0975260734558105;-0.03539152960156132;-0.018274986565233815;0.13905076682567596;0.7132161855697632;{'loss': [1.09372079372406, 1.093698263168335, 1.0927715301513672, 1.089030146598816, 1.0896215438842773], 'accuracy': [0.3870545029640198, 0.3857114911079407, 0.3930653929710388, 0.4013037085533142, 0.40439924597740173], 'val_loss': [1.0978554487228394, 1.0976494550704956, 1.097512125968933, 1.0974578857421875, 1.097525954246521], 'val_accuracy': [0.3752948045730591, 0.3739681541919708, 0.37853774428367615, 0.3735259473323822, 0.3698408007621765]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.3708726465702057;1.1003226041793823;-0.04000484749961176;-0.02327035182566887;0.12708055973052979;0.7410687208175659;{'loss': [1.0856378078460693, 1.0845775604248047, 1.0860975980758667, 1.0825107097625732, 1.0845998525619507], 'accuracy': [0.4124901592731476, 0.417092502117157, 0.4178459048271179, 0.42958924174308777, 0.4245119094848633], 'val_loss': [1.0979220867156982, 1.0985865592956543, 1.098595142364502, 1.0989174842834473, 1.1003226041793823], 'val_accuracy': [0.3723466992378235, 0.3752948045730591, 0.3674823045730591, 0.36925119161605835, 0.3708726465702057]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.37588444352149963;1.1026877164840698;-0.04026967309719159;-0.026239087774265743;0.11984482407569885;0.7471223473548889;{'loss': [1.082977533340454, 1.082389235496521, 1.0806320905685425, 1.0782910585403442, 1.0753121376037598], 'accuracy': [0.4214327931404114, 0.42744365334510803, 0.43027710914611816, 0.43317610025405884, 0.43985849618911743], 'val_loss': [1.1006807088851929, 1.100956916809082, 1.1009480953216553, 1.1015037298202515, 1.102687954902649], 'val_accuracy': [0.3732311427593231, 0.372494101524353, 0.37441039085388184, 0.377505898475647, 0.37588444352149963]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3913620412349701;1.0925346612930298;-0.011988512377532668;0.011631088312055067;0.1675986647605896;0.6083665490150452;{'loss': [1.1140904426574707, 1.1086820363998413, 1.1046093702316284, 1.0999280214309692, 1.098105549812317], 'accuracy': [0.3329566419124603, 0.33541339635849, 0.356082946062088, 0.36964425444602966, 0.3771291971206665], 'val_loss': [1.1074594259262085, 1.102546215057373, 1.0989232063293457, 1.0960685014724731, 1.0925344228744507], 'val_accuracy': [0.3183962404727936, 0.3493514060974121, 0.37337854504585266, 0.38782429695129395, 0.3913620412349701]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.41008254885673523;1.0848702192306519;-0.01627267139946599;0.024545559352856496;0.1477711796760559;0.6548352837562561;{'loss': [1.0958302021026611, 1.0938751697540283, 1.092320203781128, 1.0923112630844116, 1.0866342782974243], 'accuracy': [0.38379520177841187, 0.38877424597740173, 0.4004684090614319, 0.39702895283699036, 0.4128832519054413], 'val_loss': [1.0907227993011475, 1.0890107154846191, 1.0873392820358276, 1.0858182907104492, 1.0848702192306519], 'val_accuracy': [0.3972582519054413, 0.3979952931404114, 0.40050119161605835, 0.4033018946647644, 0.41008254885673523]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.40625;1.08107590675354;-0.016592860162086023;0.029550789933615772;0.13813497126102448;0.662003755569458;{'loss': [1.0873337984085083, 1.08640718460083, 1.0847017765045166, 1.0839492082595825, 1.0843533277511597], 'accuracy': [0.41204795241355896, 0.41457024216651917, 0.41286689043045044, 0.42077764868736267, 0.4246101975440979], 'val_loss': [1.0841710567474365, 1.0828027725219727, 1.082366943359375, 1.0818746089935303, 1.08107590675354], 'val_accuracy': [0.4091981053352356, 0.4059551954269409, 0.4043337404727936, 0.40610259771347046, 0.40625]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.41244104504585266;1.0802444219589233;-0.018907698614815456;0.029869924041459023;0.12896828353405;0.6826222538948059;{'loss': [1.0808249711990356, 1.0830310583114624, 1.0845866203308105, 1.0812904834747314, 1.0815249681472778], 'accuracy': [0.4227102994918823, 0.41954925656318665, 0.4188286066055298, 0.42228445410728455, 0.4257894456386566], 'val_loss': [1.0812170505523682, 1.0807844400405884, 1.0802886486053467, 1.0798956155776978, 1.0802444219589233], 'val_accuracy': [0.41008254885673523, 0.4099351465702057, 0.40905070304870605, 0.4091981053352356, 0.41244104504585266]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.41052475571632385;1.0897517204284668;0.016094272251617258;-0.00549383505023356;0.20367752015590668;0.5270662307739258;{'loss': [1.1063969135284424, 1.104492425918579, 1.0991392135620117, 1.0975083112716675, 1.0941803455352783], 'accuracy': [0.3337755501270294, 0.34658345580101013, 0.3633221983909607, 0.3698735535144806, 0.38228839635849], 'val_loss': [1.1039049625396729, 1.100589394569397, 1.0974723100662231, 1.0940663814544678, 1.0897517204284668], 'val_accuracy': [0.3107311427593231, 0.35922759771347046, 0.38074880838394165, 0.3951945900917053, 0.41052475571632385]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4582841992378235;1.076434850692749;0.03272752103004062;0.008213742938361523;0.13190314173698425;0.637407660484314;{'loss': [1.0924299955368042, 1.0894025564193726, 1.089444875717163, 1.089536428451538, 1.0873459577560425], 'accuracy': [0.38392624258995056, 0.39842110872268677, 0.39832285046577454, 0.39750394225120544, 0.4101480543613434], 'val_loss': [1.085922122001648, 1.0825765132904053, 1.0810133218765259, 1.0785562992095947, 1.0764349699020386], 'val_accuracy': [0.4251179099082947, 0.4389740526676178, 0.4423643946647644, 0.45371460914611816, 0.4582841992378235]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.4646226465702057;1.071529507637024;0.04301696762823937;0.008547905388268958;0.10381121188402176;0.6944091320037842;{'loss': [1.08395254611969, 1.0839990377426147, 1.0855587720870972, 1.0846389532089233, 1.0809646844863892], 'accuracy': [0.41000065207481384, 0.4133746027946472, 0.4156675934791565, 0.42076125741004944, 0.42675575613975525], 'val_loss': [1.0748964548110962, 1.0740108489990234, 1.0723775625228882, 1.0718486309051514, 1.0715296268463135], 'val_accuracy': [0.4576945900917053, 0.4572523534297943, 0.4655070900917053, 0.4628537595272064, 0.4646226465702057]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.46875;1.0688433647155762;0.04187622171352558;0.013619112976802655;0.10055561363697052;0.7067788243293762;{'loss': [1.083077073097229, 1.0834815502166748, 1.0829917192459106, 1.0822384357452393, 1.0807021856307983], 'accuracy': [0.41954925656318665, 0.42028629779815674, 0.4237093925476074, 0.4258221983909607, 0.42749279737472534], 'val_loss': [1.0701086521148682, 1.0700981616973877, 1.0695490837097168, 1.069030523300171, 1.0688433647155762], 'val_accuracy': [0.4638856053352356, 0.46255895495414734, 0.46639150381088257, 0.4672759473323822, 0.46875]}
5;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.42246460914611816;1.0848439931869507;0.012174311750596344;-0.008855450629620915;0.18993623554706573;0.5818955898284912;{'loss': [1.1068052053451538, 1.0994365215301514, 1.0931395292282104, 1.0932998657226562, 1.0898631811141968], 'accuracy': [0.3424561023712158, 0.3575078547000885, 0.38053590059280396, 0.38358229398727417, 0.3988633453845978], 'val_loss': [1.0940994024276733, 1.090233564376831, 1.0876487493515015, 1.0863944292068481, 1.0848441123962402], 'val_accuracy': [0.37411555647850037, 0.3957841992378235, 0.41244104504585266, 0.41642099618911743, 0.42246460914611816]}
5;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4251179099082947;1.0813183784484863;0.020139044431736218;-0.01298155074717035;0.1460680365562439;0.6572501063346863;{'loss': [1.0855226516723633, 1.0846340656280518, 1.0837403535842896, 1.0815314054489136, 1.0815203189849854], 'accuracy': [0.41095060110092163, 0.41247379779815674, 0.4149305522441864, 0.42239910364151, 0.42493775486946106], 'val_loss': [1.084592580795288, 1.0836832523345947, 1.0820125341415405, 1.081531286239624, 1.0813183784484863], 'val_accuracy': [0.41951650381088257, 0.4204009473323822, 0.42983490228652954, 0.42659199237823486, 0.4251179099082947]}
5;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.42983490228652954;1.079203486442566;0.025653948628871815;-0.015771550464697904;0.1318938434123993;0.6774155497550964;{'loss': [1.0800925493240356, 1.079079031944275, 1.0803618431091309, 1.0794827938079834, 1.0771316289901733], 'accuracy': [0.4195001423358917, 0.42832809686660767, 0.4310796558856964, 0.42927804589271545, 0.43361830711364746], 'val_loss': [1.0809893608093262, 1.0794028043746948, 1.078466534614563, 1.0777511596679688, 1.0792033672332764], 'val_accuracy': [0.4245283007621765, 0.4326356053352356, 0.43617334961891174, 0.44295400381088257, 0.42983490228652954]}
5;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.2;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.4329304099082947;1.0773093700408936;0.02955419614306464;-0.015332402232533227;0.12835578620433807;0.6759170293807983;{'loss': [1.0803706645965576, 1.0766624212265015, 1.0783429145812988, 1.0767803192138672, 1.0790477991104126], 'accuracy': [0.4274272918701172, 0.4319968521595001, 0.43912145495414734, 0.4312434494495392, 0.4268212914466858], 'val_loss': [1.076998233795166, 1.0774868726730347, 1.076582908630371, 1.0772581100463867, 1.0773093700408936], 'val_accuracy': [0.4385318458080292, 0.4355837404727936, 0.43882665038108826, 0.43322524428367615, 0.4329304099082947]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.36364975571632385;1.1014357805252075;-0.014902907797237006;-0.030227791539101753;0.2374725639820099;0.4410804808139801;{'loss': [1.1101343631744385, 1.1050033569335938, 1.1023703813552856, 1.1004464626312256, 1.0984692573547363], 'accuracy': [0.33760809898376465, 0.3459283411502838, 0.360341340303421, 0.36122575402259827, 0.3706105947494507], 'val_loss': [1.1022248268127441, 1.1014294624328613, 1.1013168096542358, 1.1007380485534668, 1.1014360189437866], 'val_accuracy': [0.34286555647850037, 0.34920400381088257, 0.35583725571632385, 0.35952240228652954, 0.36364975571632385]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.36925119161605835;1.1019072532653809;-0.01316890413579802;-0.023240269142305543;0.21534599363803864;0.4890870451927185;{'loss': [1.099743366241455, 1.0965901613235474, 1.0958404541015625, 1.0948412418365479, 1.0929465293884277], 'accuracy': [0.37129849195480347, 0.3951945900917053, 0.39147669076919556, 0.40661031007766724, 0.4059060513973236], 'val_loss': [1.1017454862594604, 1.1013675928115845, 1.1011698246002197, 1.101711630821228, 1.1019071340560913], 'val_accuracy': [0.3671875, 0.3674823045730591, 0.36880895495414734, 0.37028300762176514, 0.36925119161605835]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.37735849618911743;1.1012846231460571;-0.015503310295808996;-0.018174618128740057;0.20554906129837036;0.5151812434196472;{'loss': [1.093218445777893, 1.0922573804855347, 1.0910451412200928, 1.0907639265060425, 1.090745210647583], 'accuracy': [0.41273584961891174, 0.4157658517360687, 0.42041730880737305, 0.4259040951728821, 0.42046645283699036], 'val_loss': [1.1015576124191284, 1.1018723249435425, 1.1017404794692993, 1.101830005645752, 1.1012846231460571], 'val_accuracy': [0.37102004885673523, 0.3720518946647644, 0.372494101524353, 0.3747051954269409, 0.37735849618911743]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.3732311427593231;1.102001667022705;-0.018383890225808462;-0.0166561208711447;0.19541895389556885;0.5253002643585205;{'loss': [1.0890672206878662, 1.0897136926651, 1.0875625610351562, 1.087659239768982, 1.0860518217086792], 'accuracy': [0.42836084961891174, 0.421875, 0.4326356053352356, 0.4400550425052643, 0.44190579652786255], 'val_loss': [1.1016029119491577, 1.1018354892730713, 1.1017274856567383, 1.1016473770141602, 1.102001667022705], 'val_accuracy': [0.3754422068595886, 0.37190449237823486, 0.37441039085388184, 0.3742629587650299, 0.3732311427593231]}
