fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3909198045730591;1.0931029319763184;0.036008201238531795;-0.02608665031186915;0.09606334567070007;0.7576265931129456;{'loss': [1.1025757789611816, 1.0980900526046753, 1.0933879613876343, 1.0922945737838745, 1.0919629335403442], 'accuracy': [0.3455680012702942, 0.3733949065208435, 0.3977987468242645, 0.4048578441143036, 0.4088869094848633], 'val_loss': [1.0992238521575928, 1.0961530208587646, 1.0946060419082642, 1.0936596393585205, 1.0931029319763184], 'val_accuracy': [0.3598172068595886, 0.375, 0.38266509771347046, 0.38561320304870605, 0.3909198045730591]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4010908007621765;1.0920376777648926;0.04375335503749616;-0.031337541288632906;0.10338785499334335;0.7641860842704773;{'loss': [1.0897407531738281, 1.0883935689926147, 1.0870367288589478, 1.0868126153945923, 1.0861456394195557], 'accuracy': [0.41912344098091125, 0.41846829652786255, 0.43209514021873474, 0.42932718992233276, 0.43253734707832336], 'val_loss': [1.092659592628479, 1.0925986766815186, 1.0920701026916504, 1.0919771194458008, 1.0920376777648926], 'val_accuracy': [0.39563679695129395, 0.3984375, 0.40050119161605835, 0.4003537595272064, 0.4010908007621765]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.39902710914611816;1.0912559032440186;0.046973038089661426;-0.03212525378415213;0.10965093225240707;0.7405759692192078;{'loss': [1.0838000774383545, 1.084193229675293, 1.0837128162384033, 1.0829609632492065, 1.082878828048706], 'accuracy': [0.44667190313339233, 0.4390559494495392, 0.44220060110092163, 0.4456236958503723, 0.4468848407268524], 'val_loss': [1.0916857719421387, 1.0917736291885376, 1.0915477275848389, 1.0913162231445312, 1.0912559032440186], 'val_accuracy': [0.4018278419971466, 0.40197524428367615, 0.40079599618911743, 0.39976415038108826, 0.39902710914611816]}
0;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.3994693458080292;1.0908104181289673;0.046636216262020885;-0.030161945166294838;0.12862257659435272;0.6994901299476624;{'loss': [1.082903504371643, 1.0824753046035767, 1.081592082977295, 1.0802627801895142, 1.0810470581054688], 'accuracy': [0.44898125529289246, 0.45505765080451965, 0.4507828950881958, 0.45361635088920593, 0.4525681436061859], 'val_loss': [1.091326117515564, 1.091012716293335, 1.0909074544906616, 1.090929388999939, 1.0908104181289673], 'val_accuracy': [0.3996167480945587, 0.4003537595272064, 0.40050119161605835, 0.40005895495414734, 0.3994693458080292]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3943101465702057;1.0943434238433838;0.013385686826690663;0.00305316108710734;0.13817556202411652;0.6730834245681763;{'loss': [1.108161211013794, 1.100070834159851, 1.0972532033920288, 1.0937180519104004, 1.093181848526001], 'accuracy': [0.3392786979675293, 0.36464884877204895, 0.3782593011856079, 0.40066495537757874, 0.40284329652786255], 'val_loss': [1.1007580757141113, 1.0976207256317139, 1.0959664583206177, 1.0949406623840332, 1.0943434238433838], 'val_accuracy': [0.35170990228652954, 0.3682193458080292, 0.3739681541919708, 0.38679245114326477, 0.3943101465702057]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.42025354504585266;1.0931586027145386;0.013867472519027039;0.0032789225922078;0.11013274639844894;0.7240768671035767;{'loss': [1.0906567573547363, 1.0878303050994873, 1.0867767333984375, 1.085637092590332, 1.0853341817855835], 'accuracy': [0.4169778525829315, 0.4255110025405884, 0.4307684600353241, 0.4387120008468628, 0.4379749596118927], 'val_loss': [1.0937962532043457, 1.0935410261154175, 1.0932352542877197, 1.0931227207183838, 1.0931588411331177], 'val_accuracy': [0.4052181541919708, 0.408755898475647, 0.40978774428367615, 0.41244104504585266, 0.42025354504585266]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.4286556541919708;1.0934960842132568;0.010744754192157794;0.002494080158145109;0.09852850437164307;0.7445862889289856;{'loss': [1.0842030048370361, 1.083500862121582, 1.0830999612808228, 1.0840572118759155, 1.0813297033309937], 'accuracy': [0.44693395495414734, 0.44169285893440247, 0.44403499364852905, 0.4404808580875397, 0.4538620412349701], 'val_loss': [1.0934654474258423, 1.0932645797729492, 1.0931651592254639, 1.093273401260376, 1.0934960842132568], 'val_accuracy': [0.42467570304870605, 0.42467570304870605, 0.42393869161605835, 0.4255601465702057, 0.4286556541919708]}
1;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.4330778419971466;1.0940065383911133;0.00991471292463286;0.0010669853422041297;0.09929586201906204;0.7399293184280396;{'loss': [1.080781102180481, 1.0803070068359375, 1.0807796716690063, 1.0790607929229736, 1.0789508819580078], 'accuracy': [0.4499639570713043, 0.45024240016937256, 0.4547792077064514, 0.45392754673957825, 0.4568920433521271], 'val_loss': [1.0928980112075806, 1.0933277606964111, 1.093331217765808, 1.093645453453064, 1.0940066576004028], 'val_accuracy': [0.42836084961891174, 0.4301297068595886, 0.4260023534297943, 0.43057194352149963, 0.4330778419971466]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.375;1.1049389839172363;-0.02585095341654164;0.02232796586943019;0.1349913775920868;0.6769862771034241;{'loss': [1.1367322206497192, 1.1172666549682617, 1.1104785203933716, 1.105239748954773, 1.1008398532867432], 'accuracy': [0.32874739170074463, 0.3568035960197449, 0.3621593415737152, 0.3879880905151367, 0.39234474301338196], 'val_loss': [1.1173114776611328, 1.1111756563186646, 1.1082631349563599, 1.1061551570892334, 1.1049388647079468], 'val_accuracy': [0.3169221580028534, 0.33726415038108826, 0.35627949237823486, 0.37293630838394165, 0.375]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.39784789085388184;1.1020524501800537;-0.033500447273429206;0.018328623524915884;0.14185120165348053;0.6626244187355042;{'loss': [1.0977585315704346, 1.0939922332763672, 1.093951940536499, 1.0914807319641113, 1.0900895595550537], 'accuracy': [0.4056112468242645, 0.4158477485179901, 0.4194346070289612, 0.4307193458080292, 0.4321115016937256], 'val_loss': [1.1050688028335571, 1.1039856672286987, 1.1036689281463623, 1.102674961090088, 1.1020526885986328], 'val_accuracy': [0.37971699237823486, 0.38590800762176514, 0.3887087404727936, 0.39534199237823486, 0.39784789085388184]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.39902710914611816;1.1019095182418823;-0.036912108188527734;0.018481941785526472;0.13235563039779663;0.6725507974624634;{'loss': [1.0886996984481812, 1.0865044593811035, 1.0883331298828125, 1.0863922834396362, 1.086549162864685], 'accuracy': [0.43848270177841187, 0.4453943967819214, 0.43600955605506897, 0.4432651996612549, 0.44516509771347046], 'val_loss': [1.102107048034668, 1.1024221181869507, 1.102404236793518, 1.1024941205978394, 1.1019095182418823], 'val_accuracy': [0.40050119161605835, 0.4002063572406769, 0.4010908007621765, 0.3977004587650299, 0.39902710914611816]}
2;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.39932194352149963;1.100904941558838;-0.03530919165920749;0.017450891412089935;0.13724084198474884;0.6677796840667725;{'loss': [1.0881353616714478, 1.088903546333313, 1.0829190015792847, 1.0847582817077637, 1.0830960273742676], 'accuracy': [0.43969470262527466, 0.4422333538532257, 0.45797300338745117, 0.45132339000701904, 0.4555981457233429], 'val_loss': [1.1016325950622559, 1.1011124849319458, 1.1003453731536865, 1.100852370262146, 1.100904941558838], 'val_accuracy': [0.3981426954269409, 0.3987323045730591, 0.39829009771347046, 0.40005895495414734, 0.39932194352149963]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.4450176954269409;1.0829797983169556;0.019682447359995536;0.02765839664740826;0.13248401880264282;0.6804274916648865;{'loss': [1.1020058393478394, 1.0940980911254883, 1.092921495437622, 1.0907384157180786, 1.0887205600738525], 'accuracy': [0.3771619498729706, 0.4148814082145691, 0.4195001423358917, 0.4288685917854309, 0.4345191419124603], 'val_loss': [1.0873903036117554, 1.0851484537124634, 1.08408784866333, 1.083304762840271, 1.082979679107666], 'val_accuracy': [0.42880305647850037, 0.44133254885673523, 0.44369104504585266, 0.44398584961891174, 0.4450176954269409]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4560731053352356;1.0812528133392334;0.024741815416999203;0.024859556903601455;0.1393488645553589;0.6726498603820801;{'loss': [1.0898865461349487, 1.0892882347106934, 1.0855244398117065, 1.0878493785858154, 1.0858992338180542], 'accuracy': [0.4292452931404114, 0.433241605758667, 0.4467865526676178, 0.44220060110092163, 0.4477528929710388], 'val_loss': [1.0824191570281982, 1.082137107849121, 1.081865906715393, 1.081649661064148, 1.081252932548523], 'val_accuracy': [0.4467865526676178, 0.45076650381088257, 0.453125, 0.4538620412349701, 0.4560731053352356]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.4572523534297943;1.0806351900100708;0.027592087796460177;0.02437418887573825;0.12687957286834717;0.6923898458480835;{'loss': [1.0860834121704102, 1.0854510068893433, 1.0848568677902222, 1.083894968032837, 1.0825031995773315], 'accuracy': [0.4421514570713043, 0.44298675656318665, 0.44477200508117676, 0.4513888955116272, 0.4507501423358917], 'val_loss': [1.0811476707458496, 1.0809011459350586, 1.0806407928466797, 1.080700397491455, 1.0806349515914917], 'val_accuracy': [0.4587264060974121, 0.45592570304870605, 0.45666274428367615, 0.4550412595272064, 0.4572523534297943]}
3;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.45474645495414734;1.079360842704773;0.030269931005621996;0.02754949467209785;0.13218165934085846;0.6841151714324951;{'loss': [1.0832322835922241, 1.0810480117797852, 1.0798554420471191, 1.0834990739822388, 1.0797299146652222], 'accuracy': [0.4530758559703827, 0.4567282497882843, 0.45389479398727417, 0.452158659696579, 0.4606263041496277], 'val_loss': [1.0804475545883179, 1.0805623531341553, 1.0801922082901, 1.0796887874603271, 1.079360842704773], 'val_accuracy': [0.45474645495414734, 0.45518869161605835, 0.45518869161605835, 0.4543042480945587, 0.45474645495414734]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.43396225571632385;1.0906643867492676;0.006984425558737996;0.010621072010255953;0.18070746958255768;0.6002257466316223;{'loss': [1.1083258390426636, 1.0997109413146973, 1.0964231491088867, 1.094274878501892, 1.0911518335342407], 'accuracy': [0.33310404419898987, 0.37359145283699036, 0.38743120431900024, 0.4013856053352356, 0.41252294182777405], 'val_loss': [1.0996860265731812, 1.0950506925582886, 1.0931470394134521, 1.0915967226028442, 1.0906643867492676], 'val_accuracy': [0.3783903419971466, 0.4025648534297943, 0.416568398475647, 0.42806604504585266, 0.43396225571632385]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.45548349618911743;1.088560700416565;0.019745115376361602;0.010517487436429999;0.14674067497253418;0.6538397669792175;{'loss': [1.0896809101104736, 1.0897891521453857, 1.0869961977005005, 1.0878183841705322, 1.086759328842163], 'accuracy': [0.42012250423431396, 0.4152745008468628, 0.42916339635849, 0.4300805926322937, 0.43885940313339233], 'val_loss': [1.0898529291152954, 1.0893361568450928, 1.0890507698059082, 1.0888450145721436, 1.088560700416565], 'val_accuracy': [0.4411851465702057, 0.44693395495414734, 0.45224055647850037, 0.45710495114326477, 0.45548349618911743]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;15;['lower_t2m', 'upper_t2m'];0.4553360939025879;1.0893548727035522;0.023716074462357347;0.0033131132942565496;0.12475943565368652;0.6736735701560974;{'loss': [1.0843878984451294, 1.0838080644607544, 1.0835869312286377, 1.0823936462402344, 1.083682656288147], 'accuracy': [0.4391542077064514, 0.441054105758667, 0.4469667077064514, 0.4488338530063629, 0.44012054800987244], 'val_loss': [1.088761568069458, 1.0888429880142212, 1.0888996124267578, 1.0892703533172607, 1.0893548727035522], 'val_accuracy': [0.4560731053352356, 0.4587264060974121, 0.4565153419971466, 0.45739975571632385, 0.4553360939025879]}
4;slice(63, 52, None);slice(67, 78, None);slice(81, 34, None);slice(49, 97, None);8;0.4;16;True;True;True;32;20;['lower_t2m', 'upper_t2m'];0.45032429695129395;1.0896188020706177;0.023763126914075408;0.0034970265267207125;0.11296218633651733;0.6631845235824585;{'loss': [1.080695629119873, 1.0826585292816162, 1.0801918506622314, 1.0800267457962036, 1.0802091360092163], 'accuracy': [0.4590376019477844, 0.44419875741004944, 0.4583333432674408, 0.45757994055747986, 0.45749804377555847], 'val_loss': [1.0896251201629639, 1.0894131660461426, 1.0893701314926147, 1.0892482995986938, 1.0896188020706177], 'val_accuracy': [0.45224055647850037, 0.45150354504585266, 0.4523879587650299, 0.45002949237823486, 0.45032429695129395]}
