fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;5;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3313587009906769;0.9431332945823669;-0.008355701449987249;-0.0035453142343466154;0.18283678591251373;0.5193552374839783;{'loss': [0.9427596926689148, 0.9414494633674622, 0.941225528717041, 0.9407328367233276, 0.9410800933837891], 'accuracy': [0.3361667990684509, 0.32894495129585266, 0.3288763463497162, 0.33525165915489197, 0.3440673351287842], 'val_loss': [0.9411686062812805, 0.9409121870994568, 0.9408191442489624, 0.9413714408874512, 0.9431332945823669], 'val_accuracy': [0.31772369146347046, 0.31135761737823486, 0.3176223337650299, 0.3220537304878235, 0.3313587009906769]}
0;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;10;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3351359963417053;0.9470287561416626;-0.01436114930173233;-0.013077892708217931;0.10827060788869858;0.5613511204719543;{'loss': [0.9423024654388428, 0.9435299038887024, 0.9444851279258728, 0.9445177912712097, 0.9445270895957947], 'accuracy': [0.34957355260849, 0.351814329624176, 0.35027986764907837, 0.34856218099594116, 0.3470236361026764], 'val_loss': [0.9453340172767639, 0.9469298124313354, 0.9475131034851074, 0.9472615122795105, 0.9470287561416626], 'val_accuracy': [0.3369324803352356, 0.3359282910823822, 0.33358821272850037, 0.3347582519054413, 0.3351359963417053]}
0;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;15;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.34508585929870605;0.9435162544250488;-0.001975285146975606;-0.008053568724334957;0.11981488019227982;0.6414403319358826;{'loss': [0.9441587924957275, 0.9435552954673767, 0.9427576661109924, 0.9425020217895508, 0.9415977001190186], 'accuracy': [0.3468025326728821, 0.34775757789611816, 0.35096365213394165, 0.34957969188690186, 0.35285741090774536], 'val_loss': [0.9461917281150818, 0.9456731677055359, 0.9449279308319092, 0.9445517659187317, 0.9435162544250488], 'val_accuracy': [0.33845260739326477, 0.3406268358230591, 0.34244176745414734, 0.340884804725647, 0.34508585929870605]}
0;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;20;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3552936911582947;0.94144606590271;0.0006369258867634524;-0.006652260111893004;0.09025025367736816;0.712794303894043;{'loss': [0.9406912922859192, 0.9407413005828857, 0.9399749040603638, 0.9396613240242004, 0.9391574263572693], 'accuracy': [0.35587719082832336, 0.35682201385498047, 0.3603433668613434, 0.36135679483413696, 0.3641984462738037], 'val_loss': [0.9432299733161926, 0.9425719380378723, 0.9424002170562744, 0.9418460726737976, 0.94144606590271], 'val_accuracy': [0.34635722637176514, 0.3484301269054413, 0.35098209977149963, 0.35316553711891174, 0.3552936911582947]}
1;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;5;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.326595664024353;0.9440575242042542;-0.012312583496622967;-0.023368399290858464;0.10929163545370102;0.6780083179473877;{'loss': [0.9443933963775635, 0.9425728917121887, 0.9425898194313049, 0.9433078765869141, 0.9444814324378967], 'accuracy': [0.333686500787735, 0.3318040072917938, 0.3275056779384613, 0.32090210914611816, 0.3192417621612549], 'val_loss': [0.9421452879905701, 0.9413154125213623, 0.941591203212738, 0.9426932334899902, 0.9440574645996094], 'val_accuracy': [0.33654555678367615, 0.3342791795730591, 0.32943323254585266, 0.32605209946632385, 0.326595664024353]}
1;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;10;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3393738865852356;0.9413843750953674;-0.008584123688948899;-0.019152368427558797;0.12443199008703232;0.6341329216957092;{'loss': [0.9452158808708191, 0.946087121963501, 0.9454399347305298, 0.9443120360374451, 0.9433340430259705], 'accuracy': [0.3241092264652252, 0.3255249261856079, 0.32681676745414734, 0.3270092308521271, 0.3292540907859802], 'val_loss': [0.9452474117279053, 0.9447628855705261, 0.9440256357192993, 0.9423636198043823, 0.9413843750953674], 'val_accuracy': [0.32560989260673523, 0.328548789024353, 0.3291015625, 0.3352096974849701, 0.3393738865852356]}
1;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;15;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3739958107471466;0.9362565279006958;-0.001871195469877024;-0.012412286637141515;0.11606346815824509;0.6755900382995605;{'loss': [0.9421662092208862, 0.9412546753883362, 0.9408103823661804, 0.939564049243927, 0.9386647939682007], 'accuracy': [0.3338799774646759, 0.33913949131965637, 0.34041085839271545, 0.34855911135673523, 0.35538172721862793], 'val_loss': [0.9399430751800537, 0.9388858079910278, 0.9380127787590027, 0.9373613595962524, 0.9362564086914062], 'val_accuracy': [0.34657835960388184, 0.3525943458080292, 0.35880380868911743, 0.36635833978652954, 0.3739958107471466]}
1;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;20;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3864515721797943;0.9344286918640137;-0.0018257269145203283;-0.01323830184321973;0.08384323865175247;0.7371411323547363;{'loss': [0.9380557537078857, 0.9378514885902405, 0.9374563694000244, 0.9366238117218018, 0.9365504384040833], 'accuracy': [0.3604610860347748, 0.36174678802490234, 0.36564382910728455, 0.36786413192749023, 0.369962602853775], 'val_loss': [0.9358031153678894, 0.9353710412979126, 0.934994101524353, 0.934722900390625, 0.9344286918640137], 'val_accuracy': [0.37581995129585266, 0.3808317482471466, 0.38364166021347046, 0.3835310935974121, 0.3864515721797943]}
2;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;5;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3859724998474121;0.9465810656547546;-0.015521436797679119;-0.0150473011644501;0.13066846132278442;0.6103063821792603;{'loss': [0.9455778002738953, 0.9433026313781738, 0.9432020783424377, 0.9432687759399414, 0.9438576102256775], 'accuracy': [0.3489409387111664, 0.3555056154727936, 0.36681488156318665, 0.3823774456977844, 0.3945179283618927], 'val_loss': [0.9426406025886536, 0.9427765011787415, 0.9437586069107056, 0.9451655149459839, 0.9465810656547546], 'val_accuracy': [0.3538288474082947, 0.3550357520580292, 0.36197301745414734, 0.3771742284297943, 0.3859724998474121]}
2;slice(81, 34, None);slice(49, 97, None);slice(81, 34, None);slice(49, 97, None);8;0.4;169;True;True;True;32;10;['lower_t2m', 'upper_t2m', 'lower_t2m_2', 'upper_t2m_2'];0.3852815330028534;0.9449191093444824;-0.014209504121130236;-0.011074641843248353;0.12218184024095535;0.6323501467704773;{'loss': [0.9442307949066162, 0.9434158205986023, 0.9428359866142273, 0.9416676759719849, 0.9407280087471008], 'accuracy': [0.40195170044898987, 0.40401947498321533, 0.4025331139564514, 0.40491822361946106, 0.40501853823661804], 'val_loss': [0.946929931640625, 0.9468429684638977, 0.9463341236114502, 0.9458416700363159, 0.9449191093444824], 'val_accuracy': [0.3893904685974121, 0.38783350586891174, 0.38662663102149963, 0.3850143849849701, 0.3852815330028534]}
