fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;label_smoothing;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(60, 55, None);slice(70, 75, None);slice(60, 55, None);slice(70, 75, None);4;0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.32016509771347046;1.1522645950317383;-0.07441713043455155;-0.10416192428348423;0.056428950279951096;0.8556448817253113;{'loss': [1.1944503784179688, 1.1802109479904175, 1.1600769758224487, 1.1539981365203857, 1.1570955514907837], 'accuracy': [0.3409329056739807, 0.3373296558856964, 0.3313024044036865, 0.34473270177841187, 0.32848531007766724], 'val_loss': [1.1886906623840332, 1.177059292793274, 1.1684825420379639, 1.159995198249817, 1.1522645950317383], 'val_accuracy': [0.31014150381088257, 0.3113207519054413, 0.3166273534297943, 0.3154481053352356, 0.32016509771347046]}
0;slice(60, 55, None);slice(70, 75, None);slice(60, 55, None);slice(70, 75, None);4;0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3307783007621765;1.1264150142669678;-0.035218899157030845;-0.06702515342616712;0.0772474855184555;0.7631060481071472;{'loss': [1.1396429538726807, 1.1415897607803345, 1.1337629556655884, 1.1215789318084717, 1.1261026859283447], 'accuracy': [0.3452568054199219, 0.3420466482639313, 0.349056601524353, 0.3590801954269409, 0.35265985131263733], 'val_loss': [1.1457135677337646, 1.1399753093719482, 1.1344329118728638, 1.1299546957015991, 1.1264150142669678], 'val_accuracy': [0.32606130838394165, 0.3237028419971466, 0.3254716992378235, 0.3325471580028534, 0.3307783007621765]}
1;slice(60, 55, None);slice(70, 75, None);slice(60, 55, None);slice(70, 75, None);4;0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3974056541919708;1.0890324115753174;0.014795950640826038;-0.010347117383331087;0.21496562659740448;0.5139017701148987;{'loss': [1.0993188619613647, 1.0986226797103882, 1.098625898361206, 1.0974435806274414, 1.0961179733276367], 'accuracy': [0.3631420433521271, 0.3626179099082947, 0.3667452931404114, 0.3584250509738922, 0.3586871027946472], 'val_loss': [1.0934804677963257, 1.0921903848648071, 1.0913007259368896, 1.0900846719741821, 1.0890322923660278], 'val_accuracy': [0.3761792480945587, 0.3779481053352356, 0.3879716992378235, 0.3950471580028534, 0.3974056541919708]}
1;slice(60, 55, None);slice(70, 75, None);slice(60, 55, None);slice(70, 75, None);4;0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4304245412349701;1.0846492052078247;0.020871177474029168;-0.01312244979879794;0.18732817471027374;0.5793099999427795;{'loss': [1.09682035446167, 1.090491771697998, 1.0925467014312744, 1.093999981880188, 1.0886542797088623], 'accuracy': [0.36025944352149963, 0.3834512531757355, 0.376310259103775, 0.3767688572406769, 0.3815513551235199], 'val_loss': [1.0882444381713867, 1.0869680643081665, 1.0859472751617432, 1.0854731798171997, 1.0846493244171143], 'val_accuracy': [0.4021226465702057, 0.4145047068595886, 0.41804245114326477, 0.4204009473323822, 0.4304245412349701]}
0;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3637971580028534;1.1007148027420044;-0.013933599102646278;-0.03229224986940207;0.09082301706075668;0.7637227177619934;{'loss': [1.144784688949585, 1.1373592615127563, 1.1297115087509155, 1.1230475902557373, 1.1159496307373047], 'accuracy': [0.3249639570713043, 0.32745349407196045, 0.3280758559703827, 0.3340212404727936, 0.3464360535144806], 'val_loss': [1.1141244173049927, 1.109000325202942, 1.105273723602295, 1.1026415824890137, 1.1007146835327148], 'val_accuracy': [0.3661556541919708, 0.3689563572406769, 0.36659789085388184, 0.36438679695129395, 0.3637971580028534]}
0;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.36998820304870605;1.0959031581878662;-0.006457035306439217;-0.02898030565634422;0.11014686524868011;0.7151540517807007;{'loss': [1.1139037609100342, 1.1094621419906616, 1.1104679107666016, 1.1097774505615234, 1.1024502515792847], 'accuracy': [0.3446671962738037, 0.35349515080451965, 0.3476153016090393, 0.34971174597740173, 0.367973655462265], 'val_loss': [1.0991835594177246, 1.0980708599090576, 1.0972105264663696, 1.0965359210968018, 1.0959028005599976], 'val_accuracy': [0.3620283007621765, 0.36409199237823486, 0.364681601524353, 0.36807194352149963, 0.36998820304870605]}
1;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3996167480945587;1.0883901119232178;0.0139933027806881;-0.011442841471829758;0.1567082405090332;0.6426230072975159;{'loss': [1.1048023700714111, 1.0994582176208496, 1.0975536108016968, 1.0971853733062744, 1.0940903425216675], 'accuracy': [0.3579009473323822, 0.36772799491882324, 0.37601545453071594, 0.37748950719833374, 0.38530200719833374], 'val_loss': [1.094893455505371, 1.092545509338379, 1.0909717082977295, 1.0896005630493164, 1.0883899927139282], 'val_accuracy': [0.3813384473323822, 0.3869398534297943, 0.39047759771347046, 0.395931601524353, 0.3996167480945587]}
1;slice(63, 52, None);slice(67, 78, None);slice(63, 52, None);slice(67, 78, None);8;0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.40831369161605835;1.0841532945632935;0.02295370206270196;-0.011401935695273854;0.16958118975162506;0.6548554301261902;{'loss': [1.0931097269058228, 1.0943224430084229, 1.088925838470459, 1.095542550086975, 1.0902793407440186], 'accuracy': [0.3852856457233429, 0.382550448179245, 0.38960954546928406, 0.3855476975440979, 0.38808634877204895], 'val_loss': [1.0872889757156372, 1.0864111185073853, 1.0855302810668945, 1.0848674774169922, 1.0841532945632935], 'val_accuracy': [0.40079599618911743, 0.4035966992378235, 0.4047759473323822, 0.4055129587650299, 0.40831369161605835]}
0;slice(69, 46, None);slice(61, 85, None);slice(69, 46, None);slice(61, 85, None);16;0;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3266140818595886;1.040482759475708;-0.018984483791268318;-0.03033587283364171;0.19357481598854065;0.5351670384407043;{'loss': [1.058087706565857, 1.0508852005004883, 1.0475505590438843, 1.0425052642822266, 1.037346601486206], 'accuracy': [0.3258238434791565, 0.3327805697917938, 0.34047430753707886, 0.35227495431900024, 0.3617990016937256], 'val_loss': [1.0488903522491455, 1.0459266901016235, 1.04390287399292, 1.0420010089874268, 1.0404828786849976], 'val_accuracy': [0.3154481053352356, 0.3185804784297943, 0.3222287595272064, 0.32510319352149963, 0.3266140818595886]}
0;slice(69, 46, None);slice(61, 85, None);slice(69, 46, None);slice(61, 85, None);16;0;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3820386230945587;1.0350333452224731;-0.014963374989610853;-0.04322774313870619;0.17852278053760529;0.612447202205658;{'loss': [1.034311294555664, 1.030957579612732, 1.024796962738037, 1.0271707773208618, 1.0248924493789673], 'accuracy': [0.36726120114326477, 0.3721788227558136, 0.38808226585388184, 0.3926600217819214, 0.39394980669021606], 'val_loss': [1.039210319519043, 1.0375198125839233, 1.036438226699829, 1.0356597900390625, 1.0350332260131836], 'val_accuracy': [0.3407650291919708, 0.35661113262176514, 0.36516067385673523, 0.374447226524353, 0.3820386230945587]}
